iter	Passed	Remaining
398	124884	31612
399	125164	31291
400	125465	30975
401	125722	30648
402	126007	30329
403	126293	30010
404	126517	29676
405	126780	29353
406	127073	29036
407	127401	28727
408	127720	28417
409	128057	28110
410	128356	27794
411	128678	27484
412	128952	27164
413	129269	26853
414	129586	26541
415	129856	26221
416	130155	25906
417	130467	25594
418	130741	25274
419	131030	24958
420	131338	24645
421	131628	24329
422	131919	24013
423	132277	23710
424	132533	23388
425	132854	23077
426	133134	22760
427	133437	22447
428	133800	22144
429	134124	21834
430	134412	21518
431	134801	21218
432	135137	20910
433	135436	20596
434	135766	20286
435	136086	19976
436	136372	19660
437	136656	19344
438	136983	19034
439	137301	18722
440	137625	18412
441	137941	18100
442	138254	17788
443	138591	17480
444	138957	17174
445	139248	16859
446	139563	16547
447	139864	16234
448	140206	15925
449	140509	15612
450	140845	15302
451	141111	14985
452	141373	14667
453	141694	14356
454	142053	14049
455	142361	13736
456	142654	13422
457	142969	13110
458	143233	12794
459	143565	12483
460	143881	12172
461	144189	11859
462	144505	11547
463	144742	11230
464	145136	10924
465	145409	10609
466	145715	10296
467	146018	9984
468	146300	9670
469	146545	9353
470	146853	9041
471	147136	8728
472	147423	8415
473	147744	8104
474	148037	7791
475	148349	7479
476	148744	7172
477	149008	6858
478	149251	6543
479	149560	6231
480	149875	5920
481	150151	5607
482	150465	5295
483	150771	4984
484	151045	4671
485	151340	4359
486	151657	4048
487	152006	3737
488	152332	3426
489	152603	3114
490	152932	2803
491	153160	2490
492	153467	2179
493	153779	1867
494	154100	1556
495	154419	1245
496	154741	934
497	155080	622
498	155368	311
499	155687	0
